Employee_ID,Age,Gender,Department,Education,Years_at_Company,Trainings_Completed,Certifications,Salary_LPA,Promotion_Last_Year,Past_Performance_Rating,Role_History,Current_Role
1,32,M,Sales,Bachelors,3,2,0,6.5,0,Medium,Senior Sales Associate,Senior Sales Associate
2,30,F,HR,Bachelors,3,0,1,5.4,0,Low,HRBP > HR Manager > HR Manager > HR Manager,HR Manager
3,32,M,HR,Bachelors,5,0,1,4.1,1,Medium,Senior HR Executive > HRBP,HRBP
4,27,M,Marketing,Masters,3,3,0,6.7,0,Medium,Senior Marketing Associate,Senior Marketing Associate
5,24,M,Operations,Bachelors,0,3,0,5.5,0,Medium,Ops Associate > Ops Associate,Ops Associate
6,25,F,Sales,Bachelors,3,4,0,5.1,0,Medium,Team Lead (Sales) > Sales Manager,Sales Manager
7,30,M,Sales,Bachelors,3,3,1,5.2,0,Medium,Sales Associate,Sales Associate
8,22,M,HR,Bachelors,3,2,0,5.4,0,Medium,HR Executive > HR Executive > Senior HR Executive,Senior HR Executive
9,22,M,Operations,Diploma,3,4,0,6.0,0,Low,Ops Associate > Senior Ops Associate > Senior Ops Associate > Ops Supervisor,Ops Supervisor
10,36,M,Marketing,Bachelors,1,4,0,6.5,0,Low,Senior Marketing Associate > Brand Lead,Brand Lead
11,27,F,HR,Bachelors,5,0,0,4.6,0,Low,HR Executive > Senior HR Executive,Senior HR Executive
12,28,F,Operations,Diploma,2,6,0,5.9,0,High,Ops Supervisor > Ops Supervisor,Ops Supervisor
13,34,F,Sales,Masters,3,7,0,3.5,0,Medium,Sales Associate,Sales Associate
14,27,M,Marketing,Bachelors,1,4,0,6.0,0,Medium,Brand Lead > Marketing Manager,Marketing Manager
15,36,F,Engineering,Masters,6,4,1,7.3,0,High,Junior Engineer > Engineer > Senior Engineer > Tech Lead,Tech Lead
16,28,F,HR,Bachelors,3,2,0,4.3,0,Medium,Senior HR Executive > Senior HR Executive > Senior HR Executive,Senior HR Executive
17,23,M,Engineering,Masters,2,8,1,6.4,1,Medium,Senior Engineer > Tech Lead,Tech Lead
18,27,M,Sales,Diploma,5,3,0,6.9,0,Medium,Senior Sales Associate > Senior Sales Associate,Senior Sales Associate
19,30,F,Sales,Bachelors,4,3,0,5.7,1,High,Sales Associate > Senior Sales Associate,Senior Sales Associate
20,31,F,Engineering,Bachelors,8,2,0,9.4,1,Medium,Engineer > Engineer > Senior Engineer,Senior Engineer
21,13,F,Sales,Bachelors,1,4,0,5.5,0,High,Sales Associate > Sales Associate,Sales Associate
22,35,F,Operations,Bachelors,5,3,0,7.4,0,Medium,Ops Associate,Ops Associate
23,27,M,Finance,Bachelors,4,1,1,6.9,0,Medium,Analyst > Senior Analyst > Team Lead (Finance),Team Lead (Finance)
24,18,M,Operations,Bachelors,6,3,0,7.4,0,Medium,Ops Supervisor > Ops Supervisor > Ops Manager,Ops Manager
25,30,F,Marketing,Masters,5,3,1,6.9,0,Medium,Brand Lead > Marketing Manager,Marketing Manager
26,31,F,Operations,Bachelors,2,3,1,7.8,0,Medium,Ops Associate > Ops Associate > Senior Ops Associate,Senior Ops Associate
27,27,M,Marketing,Masters,4,2,1,5.1,0,Low,Brand Lead > Marketing Manager > Marketing Manager,Marketing Manager
28,36,M,Sales,Bachelors,2,3,0,5.1,0,Low,Sales Associate > Sales Associate > Sales Associate,Sales Associate
29,27,M,Engineering,Diploma,0,5,0,8.0,0,Low,Senior Engineer > Senior Engineer,Senior Engineer
30,36,M,HR,Masters,7,0,0,9.9,0,Low,Senior HR Executive,Senior HR Executive
31,26,M,Finance,Bachelors,1,1,0,8.5,0,Low,Analyst > Analyst > Analyst,Analyst
32,23,F,Finance,Masters,7,1,0,10.2,0,Low,Analyst,Analyst
33,35,F,HR,Bachelors,3,1,0,6.1,0,Medium,HRBP > HRBP,HRBP
34,27,F,Engineering,Bachelors,5,3,0,7.2,0,Medium,Engineer > Senior Engineer,Senior Engineer
35,34,M,Marketing,Masters,2,2,0,7.7,0,Low,Brand Lead,Brand Lead
36,21,F,Marketing,Bachelors,6,5,1,7.6,0,High,Marketing Associate > Senior Marketing Associate > Brand Lead > Brand Lead,Brand Lead
37,31,M,Operations,Bachelors,2,4,0,4.6,0,Low,Ops Associate > Senior Ops Associate,Senior Ops Associate
38,28,M,Operations,Bachelors,2,1,0,4.1,0,Low,Ops Associate,Ops Associate
39,26,M,HR,Bachelors,5,3,0,7.5,0,Low,Senior HR Executive > HRBP,HRBP
40,24,F,Finance,Diploma,0,4,0,5.2,0,Low,Senior Analyst > Team Lead (Finance) > Finance Manager,Finance Manager
41,41,F,Marketing,Bachelors,6,2,0,8.7,0,High,Marketing Associate,Marketing Associate
42,28,M,Marketing,Masters,0,2,1,5.4,0,Medium,Brand Lead > Marketing Manager > Marketing Manager,Marketing Manager
43,32,F,Sales,Masters,2,4,0,6.1,0,Low,Team Lead (Sales) > Team Lead (Sales),Team Lead (Sales)
44,33,M,Sales,Bachelors,4,4,0,5.9,0,Medium,Sales Associate > Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
45,32,F,Finance,Masters,3,4,0,7.8,0,High,Team Lead (Finance) > Finance Manager > Finance Manager,Finance Manager
46,28,F,Sales,Masters,3,4,1,3.8,0,Medium,Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
47,23,M,Operations,Bachelors,0,1,0,3.5,0,Low,Senior Ops Associate,Senior Ops Associate
48,33,F,HR,Masters,8,2,0,9.5,0,Medium,HR Executive,HR Executive
49,26,F,Finance,Bachelors,0,4,0,7.6,0,High,Team Lead (Finance),Team Lead (Finance)
50,30,F,HR,Bachelors,5,3,0,6.3,0,Medium,HR Executive > HR Executive > Senior HR Executive,Senior HR Executive
51,23,F,HR,Bachelors,7,3,1,10.3,0,High,HR Executive > Senior HR Executive,Senior HR Executive
52,25,M,Marketing,Bachelors,4,6,1,7.4,0,Medium,Marketing Associate > Senior Marketing Associate > Brand Lead,Brand Lead
53,28,F,Marketing,Diploma,1,3,1,5.8,0,Medium,Marketing Associate > Senior Marketing Associate,Senior Marketing Associate
54,21,F,Operations,Bachelors,5,5,0,6.9,0,Medium,Ops Supervisor > Ops Manager,Ops Manager
55,34,F,Engineering,Diploma,6,2,0,9.5,0,Medium,Junior Engineer > Junior Engineer,Junior Engineer
56,30,M,HR,Masters,4,4,0,7.7,0,Medium,HR Executive > HR Executive > HR Executive,HR Executive
57,22,F,Sales,Masters,6,1,1,8.8,0,Medium,Sales Associate,Sales Associate
58,27,M,Sales,Masters,4,4,0,9.2,0,Medium,Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
59,31,M,Marketing,Bachelors,5,4,0,9.4,0,Medium,Senior Marketing Associate,Senior Marketing Associate
60,31,M,Marketing,Bachelors,5,3,0,6.5,0,Medium,Brand Lead,Brand Lead
61,28,F,Operations,Masters,6,5,0,7.6,0,Low,Ops Supervisor > Ops Supervisor > Ops Manager,Ops Manager
62,27,M,Finance,Bachelors,8,4,0,8.8,0,Medium,Analyst,Analyst
63,23,F,Operations,Bachelors,3,7,0,7.0,1,High,Ops Associate > Senior Ops Associate,Senior Ops Associate
64,36,F,Operations,Bachelors,3,1,0,7.6,0,Medium,Ops Associate,Ops Associate
65,36,F,Operations,Diploma,2,3,0,5.9,0,Medium,Ops Supervisor > Ops Supervisor,Ops Supervisor
66,27,M,Marketing,Masters,1,1,0,8.7,0,Low,Marketing Associate > Senior Marketing Associate > Brand Lead,Brand Lead
67,27,M,Marketing,Bachelors,3,2,0,4.1,0,Low,Brand Lead > Brand Lead > Marketing Manager,Marketing Manager
68,34,F,Marketing,Masters,3,2,1,7.8,0,High,Senior Marketing Associate,Senior Marketing Associate
69,32,F,Sales,Bachelors,5,3,0,4.8,0,High,Team Lead (Sales) > Sales Manager > Sales Manager,Sales Manager
70,31,F,Finance,Bachelors,0,2,0,6.7,0,Medium,Team Lead (Finance),Team Lead (Finance)
71,30,M,Finance,Masters,2,3,1,7.9,0,Medium,Senior Analyst > Senior Analyst,Senior Analyst
72,35,M,Marketing,Bachelors,4,1,0,7.2,0,Low,Marketing Associate > Marketing Associate > Senior Marketing Associate,Senior Marketing Associate
73,28,F,Operations,Bachelors,2,4,0,5.8,0,Medium,Ops Supervisor,Ops Supervisor
74,28,M,Operations,Bachelors,4,0,0,6.0,0,Medium,Ops Associate,Ops Associate
75,27,M,Marketing,Bachelors,4,1,0,8.2,0,Low,Senior Marketing Associate > Senior Marketing Associate > Brand Lead > Brand Lead,Brand Lead
76,26,F,Marketing,Masters,3,3,0,7.2,0,Medium,Marketing Associate,Marketing Associate
77,24,M,HR,Diploma,5,4,0,6.4,0,Medium,Senior HR Executive > HRBP > HR Manager,HR Manager
78,35,F,HR,Bachelors,2,4,0,4.8,1,Medium,HRBP > HR Manager,HR Manager
79,32,M,Operations,Masters,3,2,0,4.3,0,Medium,Ops Associate,Ops Associate
80,34,F,Finance,Bachelors,0,3,0,7.5,0,Medium,Analyst,Analyst
81,28,M,Sales,Masters,3,2,1,5.9,0,Medium,Senior Sales Associate > Senior Sales Associate,Senior Sales Associate
82,27,F,Engineering,Bachelors,6,4,0,9.7,0,High,Senior Engineer > Senior Engineer,Senior Engineer
83,34,M,Sales,Bachelors,5,3,1,9.5,0,Medium,Senior Sales Associate > Senior Sales Associate,Senior Sales Associate
84,28,M,Operations,Bachelors,8,4,0,6.4,0,High,Ops Supervisor > Ops Manager,Ops Manager
85,27,M,Sales,Diploma,4,5,0,4.7,0,High,Senior Sales Associate > Senior Sales Associate,Senior Sales Associate
86,23,F,Sales,Bachelors,0,4,0,5.3,0,Low,Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
87,33,M,HR,Bachelors,0,2,1,5.5,0,Low,HR Executive,HR Executive
88,29,F,Operations,Bachelors,5,2,0,7.5,0,Medium,Senior Ops Associate,Senior Ops Associate
89,34,M,Engineering,Bachelors,6,5,0,9.5,0,Medium,Junior Engineer > Engineer,Engineer
90,38,F,HR,Bachelors,5,2,0,6.6,0,Medium,HRBP > HRBP,HRBP
91,25,M,Marketing,Bachelors,5,3,1,7.9,0,Medium,Senior Marketing Associate,Senior Marketing Associate
92,33,F,Finance,Masters,2,4,1,7.4,0,High,Senior Analyst > Senior Analyst,Senior Analyst
93,29,F,Finance,Masters,4,5,0,8.3,0,High,Team Lead (Finance) > Finance Manager > Finance Manager,Finance Manager
94,34,F,Sales,Bachelors,1,4,0,3.5,1,High,Team Lead (Sales) > Team Lead (Sales),Team Lead (Sales)
95,18,M,HR,Masters,2,2,0,3.6,0,Low,HRBP,HRBP
96,34,M,Engineering,Bachelors,5,3,1,7.6,1,High,Junior Engineer,Junior Engineer
97,21,M,Operations,Bachelors,3,3,0,4.8,0,Medium,Ops Associate > Senior Ops Associate,Senior Ops Associate
98,27,M,Operations,Bachelors,5,4,1,7.4,0,Low,Ops Associate > Ops Associate,Ops Associate
99,26,M,Sales,Bachelors,2,4,1,6.8,0,Medium,Senior Sales Associate > Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
100,27,M,Marketing,Masters,2,2,0,5.2,0,Low,Marketing Associate,Marketing Associate
101,31,M,HR,Diploma,3,6,0,6.4,0,High,Senior HR Executive,Senior HR Executive
102,21,M,Sales,Bachelors,7,5,0,8.6,0,Medium,Sales Associate > Senior Sales Associate,Senior Sales Associate
103,22,F,Sales,Masters,1,3,1,7.0,0,Medium,Senior Sales Associate,Senior Sales Associate
104,26,M,Engineering,Bachelors,6,4,1,9.5,0,High,Junior Engineer,Junior Engineer
105,32,F,HR,Bachelors,4,2,0,5.3,0,Low,Senior HR Executive > HRBP > HR Manager,HR Manager
106,24,M,Marketing,Bachelors,0,5,1,5.3,0,Medium,Senior Marketing Associate > Senior Marketing Associate > Senior Marketing Associate,Senior Marketing Associate
107,29,F,HR,Bachelors,2,5,1,5.3,0,High,Senior HR Executive > HRBP > HRBP,HRBP
108,26,F,Finance,Bachelors,4,2,1,7.9,0,Medium,Senior Analyst,Senior Analyst
109,21,M,Sales,Bachelors,6,2,0,8.2,0,Medium,Team Lead (Sales),Team Lead (Sales)
110,28,M,Marketing,Diploma,2,1,0,4.2,0,Medium,Senior Marketing Associate > Brand Lead,Brand Lead
111,23,F,Engineering,Bachelors,3,4,0,7.7,0,Medium,Engineer > Senior Engineer,Senior Engineer
112,34,F,Finance,Bachelors,3,1,0,5.5,0,Low,Analyst > Senior Analyst > Team Lead (Finance),Team Lead (Finance)
113,35,F,Marketing,Bachelors,2,4,1,5.2,0,High,Marketing Associate,Marketing Associate
114,34,M,Marketing,Masters,2,3,1,7.2,0,Medium,Marketing Associate > Senior Marketing Associate,Senior Marketing Associate
115,33,M,Sales,Masters,6,1,0,6.5,0,Low,Team Lead (Sales) > Team Lead (Sales) > Sales Manager,Sales Manager
116,36,F,Marketing,Masters,0,1,0,6.3,0,Low,Marketing Associate > Marketing Associate > Senior Marketing Associate > Brand Lead,Brand Lead
117,34,F,Sales,Bachelors,3,2,0,6.2,0,Medium,Senior Sales Associate,Senior Sales Associate
118,24,M,HR,Bachelors,0,3,0,4.9,0,Medium,Senior HR Executive > Senior HR Executive > Senior HR Executive,Senior HR Executive
119,28,M,Operations,Masters,7,4,1,7.5,0,High,Ops Supervisor > Ops Manager > Ops Manager > Ops Manager,Ops Manager
120,27,F,HR,Bachelors,2,3,0,5.5,0,Low,HR Executive,HR Executive
121,28,F,HR,Masters,2,4,0,5.6,1,Medium,Senior HR Executive > Senior HR Executive > HRBP,HRBP
122,33,F,Finance,Masters,6,3,0,9.9,0,Medium,Senior Analyst,Senior Analyst
123,22,M,Sales,Masters,6,2,0,7.6,0,Low,Senior Sales Associate > Team Lead (Sales),Team Lead (Sales)
124,25,F,Operations,Bachelors,4,5,0,5.3,0,High,Ops Associate > Ops Associate,Ops Associate
125,30,M,Sales,Bachelors,5,3,1,8.4,0,Low,Sales Associate > Sales Associate,Sales Associate
126,33,M,Sales,Bachelors,7,3,1,7.1,0,Medium,Sales Associate > Sales Associate,Sales Associate
127,27,M,HR,Masters,4,2,0,5.5,0,Low,HR Executive > Senior HR Executive > HRBP > HR Manager,HR Manager
128,25,F,Finance,Masters,2,3,1,6.8,1,Medium,Senior Analyst > Team Lead (Finance) > Finance Manager,Finance Manager
129,21,F,HR,Masters,1,0,0,5.0,0,Low,Senior HR Executive > Senior HR Executive > Senior HR Executive,Senior HR Executive
130,25,F,Sales,Bachelors,5,4,1,6.0,0,Medium,Sales Associate > Senior Sales Associate,Senior Sales Associate
131,28,M,Finance,Bachelors,4,1,0,6.1,0,Low,Analyst > Senior Analyst,Senior Analyst
132,33,M,Finance,Diploma,8,3,1,8.4,0,Medium,Team Lead (Finance) > Team Lead (Finance) > Finance Manager,Finance Manager
133,31,F,Finance,Bachelors,2,5,0,5.3,0,Low,Team Lead (Finance),Team Lead (Finance)
134,27,F,Finance,Masters,6,3,1,10.6,0,High,Team Lead (Finance),Team Lead (Finance)
135,16,F,HR,Bachelors,6,2,1,6.9,0,Medium,HRBP,HRBP
136,25,M,Engineering,Bachelors,4,2,1,9.2,0,Medium,Senior Engineer,Senior Engineer
137,31,M,Sales,Diploma,2,0,1,5.2,0,Low,Sales Associate,Sales Associate
138,31,M,Marketing,Masters,3,3,1,6.5,1,High,Senior Marketing Associate,Senior Marketing Associate
139,28,F,Sales,Bachelors,2,5,1,4.7,0,High,Senior Sales Associate,Senior Sales Associate
140,25,M,Operations,Bachelors,5,2,0,6.4,0,Medium,Ops Associate,Ops Associate
141,32,F,Operations,Masters,4,6,0,4.4,0,Low,Senior Ops Associate,Senior Ops Associate
142,29,M,Sales,Diploma,2,4,1,6.7,1,High,Team Lead (Sales) > Sales Manager,Sales Manager
143,32,M,HR,Bachelors,8,2,0,5.7,0,Medium,HR Executive,HR Executive
144,34,M,Operations,Masters,7,1,0,7.7,1,Medium,Ops Associate > Senior Ops Associate,Senior Ops Associate
145,31,M,Marketing,Masters,5,4,0,7.8,0,High,Marketing Associate,Marketing Associate
146,37,M,Finance,Bachelors,3,2,1,7.0,0,Low,Team Lead (Finance) > Team Lead (Finance),Team Lead (Finance)
147,30,M,Operations,Masters,3,3,0,3.5,0,Low,Ops Associate > Senior Ops Associate,Senior Ops Associate
148,28,M,Operations,Masters,2,4,0,4.5,0,Medium,Ops Supervisor > Ops Manager,Ops Manager
149,28,M,Operations,Bachelors,4,3,1,5.0,0,High,Ops Associate > Ops Associate > Ops Associate,Ops Associate
150,27,M,Finance,Bachelors,4,1,0,7.3,0,Low,Senior Analyst,Senior Analyst
151,34,F,Engineering,Bachelors,4,4,1,8.7,1,High,Junior Engineer > Junior Engineer,Junior Engineer
152,30,M,Marketing,Diploma,2,0,0,5.8,0,Low,Senior Marketing Associate > Senior Marketing Associate > Brand Lead,Brand Lead
153,35,F,HR,Bachelors,3,1,1,4.0,0,Medium,HRBP > HRBP > HR Manager,HR Manager
154,33,F,Finance,Bachelors,0,4,0,4.8,1,Low,Senior Analyst > Team Lead (Finance),Team Lead (Finance)
155,21,M,Marketing,Bachelors,2,2,1,8.3,0,Medium,Marketing Associate,Marketing Associate
156,24,F,Finance,Diploma,4,3,0,7.6,0,Low,Senior Analyst,Senior Analyst
157,33,F,Sales,Bachelors,3,5,0,4.8,0,Medium,Senior Sales Associate,Senior Sales Associate
158,27,M,Finance,Masters,6,3,0,8.6,1,High,Team Lead (Finance),Team Lead (Finance)
159,28,M,Sales,Bachelors,8,5,0,8.2,0,Medium,Team Lead (Sales),Team Lead (Sales)
160,21,M,Operations,Bachelors,6,0,1,6.4,0,Medium,Ops Associate > Ops Associate > Senior Ops Associate,Senior Ops Associate
161,29,F,HR,Masters,4,3,1,6.4,0,Low,Senior HR Executive > Senior HR Executive,Senior HR Executive
162,40,F,Sales,Bachelors,1,3,0,3.7,0,Medium,Team Lead (Sales) > Sales Manager > Sales Manager,Sales Manager
163,41,M,Engineering,Masters,4,0,0,9.9,0,Medium,Engineer > Engineer,Engineer
